ais_id,Sex,App Insert Import Identifier,Module Duration,Module City,Module Country,PO Short Name,Home City,Home Region,Home Country,Home Postal Code
2016-001-508083,Female,WMQY2733,Summer,Shanghai,China,UMinnesota,Indianapolis,Indiana,United States of America,46260
2016-001-522340,Female,XUMM5595,Summer,"Moscow (Bolshoi, dance)",Russia,Russian Amer Fdn,Puyallup,Washington,United States of America,98375
2016-001-506508,Female,STRW4751,Summer,Unknown City,Morocco,Legacy,Stamford,Connecticut,United States of America,6905
2016-001-500623,Male,JWYY4646,Summer,Unknown City,Morocco,Legacy,Colorado Springs,Colorado,United States of America,80906
2016-001-507723,Female,TMKJ5839,Summer,Xi’an,China,American Councils,Chattanooga,Tennessee,United States of America,37403
2016-001-507701,Female,PQHD1687,Summer,Chisinau,Moldova,American Councils,Ridgewood,New Jersey,United States of America,7450
2016-001-500251,Female,GDMS8631,Summer,Xi’an,China,American Councils,St. Louis,Missouri,United States of America,63105
2016-001-507998,Female,QDXF3458,Summer,Xi’an,China,American Councils,Rockville,Maryland,United States of America,20854
2016-001-522353,Female,,Year,Unknown City,Indonesia,AFS USA,Clifton Springs,New York,United States of America,14432
2016-001-501327,Female,ZWYX7676,Summer,Jeonju,South Korea,American Councils,Raleigh,North Carolina,United States of America,27607
2016-001-505536,Female,UXHT8666,Summer,Seoul,South Korea,iEARN,Dunbar,West Virginia,United States of America,25064
2016-001-506536,Female,TMYQ7357,Summer,Amman,Jordan,American Councils,Chicago,Illinois,United States of America,60615
2016-001-506023,Female,NPKR2611,Summer,Pune,India,iEARN,Keene,New Hampshire,United States of America,3431
2016-001-507909,Female,PQYA6676,Summer,Xiamen,China,UDelaware,West Chester,Pennsylvania,United States of America,19382
2016-001-522387,Male,,Year,Unknown City,Philippines,AFS USA,Ann Arbor,Michigan,United States of America,48103
2016-001-506566,Male,TTCB1185,Summer,Seoul,South Korea,iEARN,San Jose,California,United States of America,95121
2016-001-505246,Female,TKHT1996,Summer,Songdo,South Korea,SUNY Stony Brook,Alpharetta,Georgia,United States of America,30009
2016-001-506497,Male,UXFK7517,Summer,Amman,Jordan,American Councils,Huntsville,Utah,United States of America,84317
2016-001-500987,Female,UXNB8913,Summer,Chisinau,Moldova,American Councils,Olympia,Washington,United States of America,98506
2016-001-500538,Male,VHAW4415,Summer,Unknown City,Morocco,Legacy,Apex,North Carolina,United States of America,27523
2016-001-522446,Female,,Year,Unknown City,Malaysia,AFS USA,Salt Lake City,Utah,United States of America,84104
2016-001-508050,Female,SYWM1526,Year,Chisinau,Moldova,American Councils,Portland,Oregon,United States of America,97219
2016-001-508086,Female,VEEH3142,Summer,Xi’an,China,American Councils,Eden Prairie,Minnesota,United States of America,55346
2016-001-505599,Female,UGQW4624,Summer,Rabat,Morocco,iEARN,Columbus,Ohio,United States of America,43207
2016-001-501158,Female,FPFV7174,Summer,Seoul,South Korea,iEARN,Paradise,Montana,United States of America,59856
2016-001-506123,Female,NDJQ8543,Summer,Indore,India,AFS USA,Marshfield,Wisconsin,United States of America,54449
2016-001-522333,Female,XKRT2788,Summer,"Moscow (Bolshoi, dance)",Russia,Russian Amer Fdn,Aliso Viejo,California,United States of America,92656
2016-001-522344,Female,JTQQ4237,Summer,Daugavpils,Latvia,UWisconsinMad,Chicago,Illinois,United States of America,60651
2016-001-508106,Female,YVMG4427,Summer,Narva,Estonia,American Councils,Hudson,New Hampshire,United States of America,3051
2016-001-501275,Male,DKMF2986,Summer,Nanjing,China,American Councils,Coconut Creek,Florida,United States of America,33073
2016-001-506007,Male,NHPF7175,Summer,Deyang,China,AFS USA,Irvine,California,United States of America,92620
2016-001-522336,Female,HHVJ3777,Summer,"Moscow (Bolshoi, dance)",Russia,Russian Amer Fdn,Washington,District of Columbia,United States of America,20016
2016-001-506004,Female,EZQN2254,Summer,Rabat,Morocco,AMIDEAST,Riverview,Florida,United States of America,33578
2016-001-507959,Female,TTJE8589,Year,Changzhou,China,AFS USA,St. Paul,Minnesota,United States of America,55105
2016-001-522369,Female,,Year,Unknown City,Morocco,AMIDEAST,Portland,Oregon,United States of America,97221
2016-001-506580,Female,TBRC1644,Summer,Moscow,Russia,Russian Amer Fdn,Honolulu,Hawaii,United States of America,96825
2016-001-507309,Male,CJTA9235,Summer,Shanghai,China,UMinnesota,Charlottesville,Virginia,United States of America,22902
