ais_id,ref_cide,grade,program_1,program_1_experience,program_2,program_2_experience
2016-001-522331,XANT3932,9th,,No,,
2016-001-522306,TABV1823,11th,,No,,
2016-001-522303,WVYQ6854,10th,,No,,
2016-001-522308,AYKU7595,11th,,Yes,,
2016-001-522333,XKRT2788,9th,,Yes,,
2016-001-522334,WHFA4969,10th,,No,,
2016-001-522317,PWBM7578,12th,,Yes,,
2016-001-522309,RGEP2138,10th,,No,,
2016-001-522310,RUUY5921,11th,,No,,
2016-001-522343,CNYA3486,11th,,No,,
2016-001-522319,GXZU8423,11th,,No,,
2016-001-522336,HHVJ3777,9th,,No,,
2016-001-522337,QBFZ8286,9th,,Yes,,
2016-001-522320,WUKZ9953,11th,,Yes,,
2016-001-522321,JVGB1934,12th,,Yes,,
2016-001-522339,WHZW9224,11th,,No,,
2016-001-522344,JTQQ4237,12th,,Yes,,
2016-001-522340,XUMM5595,10th,,Yes,,
2016-001-522312,SVDJ2572,11th,,No,,
2016-001-522345,CWDB8523,12th,,Yes,,
2016-001-522324,GYEP1113,12th,,Yes,,
2016-001-522325,CMPD7842,12th,,Yes,,
2016-001-522346,TRFS5875,12th,,Yes,,
2016-001-522347,ZZKW1831,12th,,Yes,,
2016-001-522326,TVNG2544,12th,,Yes,,
2016-001-505671,BREN1893,12th,Arabic,Yes,None,
2016-001-505716,CZZB2189,10th,Arabic,Yes,None,
2016-001-505299,HWSG7769,11th,Arabic,No,Any,
2016-001-500737,JKTR8216,12th,Arabic,Yes,None,
2016-001-507319,DFUZ8617,11th,Arabic,Yes,None,
2016-001-500665,VMAE4491,12th,Arabic,Yes,None,
2016-001-500471,HDJE1865,12th,Arabic,Yes,None,
2016-001-507781,MZQX8622,12th,Arabic,No,Arabic,
2016-001-500627,JAPJ1928,11th,Arabic,Yes,None,
2016-001-508154,XYTH3364,10th,Arabic,Yes,None,
2016-001-505599,UGQW4624,12th,Arabic,Yes,None,
2016-001-508156,ZANS1812,12th,Arabic,Yes,Arabic,
2016-001-506633,TJZG2227,12th,Arabic,No,Any,
2016-001-506671,UPEH8582,12th,Arabic,No,None,
2016-001-501097,ZHVD3253,11th,Arabic,Yes,None,
2016-001-501337,KMCD5814,9th,Arabic,Yes,None,
2016-001-507075,WSYW9955,12th,Arabic,Yes,Arabic,
2016-001-506801,NVDV3659,10th,Arabic,No,Any,
2016-001-507197,QZTB9251,12th,Arabic,No,Arabic,
2016-001-507947,SMWY4983,12th,Arabic,Yes,Arabic,
2016-001-506330,JPMX9239,12th,Arabic,Yes,None,
2016-001-506824,VYBC6152,11th,Arabic,Yes,None,
2016-001-506357,HUAP4838,12th,Arabic,Yes,None,
2016-001-507994,PXKA8371,12th,Arabic,Yes,Arabic,
2016-001-508312,ZZCK1942,12th,Arabic,Yes,Any,
2016-001-508378,GBJS5975,11th,Arabic,Yes,None,
2016-001-506974,XRRF7446,12th,Arabic,No,None,
2016-001-505235,NCZA2278,12th,Chinese (Mandarin),Yes,Chinese (Mandarin),
2016-001-500480,UUMV2645,11th,Chinese (Mandarin),Yes,Any,
2016-001-505023,ZXTS1382,12th,Chinese (Mandarin),Yes,None,
2016-001-506935,ZVUQ1539,12th,Chinese (Mandarin),Yes,None,
2016-001-505247,QDNC7491,12th,Chinese (Mandarin),Yes,Any,
2016-001-505250,GPPJ4193,11th,Chinese (Mandarin),No,Any,
2016-001-500158,ZKWF6979,12th,Chinese (Mandarin),Yes,Chinese (Mandarin),
2016-001-501056,XWUQ4576,11th,Chinese (Mandarin),Yes,None,
2016-001-500187,SVWA8822,11th,Chinese (Mandarin),Yes,Chinese (Mandarin),
2016-001-506007,NHPF7175,11th,Chinese (Mandarin),No,None,
2016-001-506511,UCGQ6655,11th,Chinese (Mandarin),Yes,None,
2016-001-506515,RJZV9133,10th,Chinese (Mandarin),Yes,None,
2016-001-506516,UPAE6886,11th,Chinese (Mandarin),Yes,Chinese (Mandarin),
2016-001-507723,TMKJ5839,11th,Chinese (Mandarin),Yes,None,
2016-001-507309,CJTA9235,10th,Chinese (Mandarin),Yes,None,
2016-001-506030,MSPG6779,11th,Chinese (Mandarin),Yes,None,
2016-001-507317,FPBX5812,9th,Chinese (Mandarin),Yes,None,
