Reference.Code,Student.Number,Sex,Module.Language,Module.Duration,Module.City,module.lat,module.long,Module.Country,Home.Region,Home.Postal.Code
AADR1147,2015-001-501677,Male,Chinese,Summer,Zhuhai,22.271,113.5767,China,Wisconsin,53959
ACRF5361,2015-001-500469,Female,Arabic,Summer,Rabat,33.9716,6.8498,Morocco,Montana,59803
ACZZ2113,2015-001-501018,Female,Arabic,Year,Marrakesh,31.6295,7.9811,Morocco,Texas,75238
ADUS7431,2015-001-511298,Male,Russian,Summer,Moscow,55.7558,37.6173,Russia,Georgia,30004
AHKH8374,2015-001-511470,Female,Russian,Summer,Daugavpils,55.8747,26.5362,Latvia,Illinois,60647
AKBW3133,2015-001-501020,Female,Chinese,Summer,Shanghai,31.2304,121.4737,China,Illinois,60502
AQSV6345,2015-001-502311,Female,Chinese,Summer,Hangzhou,30.2741,120.1551,China,Washington,98006
ARCA7467,2015-001-504456,Male,Arabic,Summer,Rabat,33.9716,6.8498,Morocco,New Jersey,7670
ARPN4464,2015-001-503000,Female,Hindi,Summer,Pune,18.5204,73.8567,India,Missouri,64113
ATGH4148,2015-001-502555,Male,Chinese,Year,Kaohsiung,22.6273,120.3014,Taiwan,Arizona,85711
ATGU7872,2015-001-509616,Female,Chinese,Summer,Deyang,31.1269,104.3979,China,Texas,77015
ATVT6964,2015-001-501221,Female,Arabic,Summer,Marrakesh,31.6295,7.9811,Morocco,Iowa,50010
AUTZ6556,2015-001-501744,Male,Russian,Year,Chisinau,47.0105,28.8638,Moldova,Missouri,64080
AYEC4878,2015-001-502995,Female,Korean,Year,Seoul,37.5665,126.978,South Korea,Kentucky,41701
AZMW5529,2015-001-501675,Male,Russian,Summer,Moscow,55.7558,37.6173,Russia,California,90049
AZNH6868,2015-001-502267,Female,Arabic,Summer,Amman,31.9454,35.9284,Jordan,Washington,98133
BCXP3649,2015-001-504438,Female,Arabic,Summer,Rabat,33.9716,6.8498,Morocco,Pennsylvania,19102
BEZY9978,2015-001-511278,Female,Chinese,Summer,Harbin,45.8038,126.535,China,Maine,4429
BGRK1933,2015-001-502098,Female,Korean,Summer,Seoul,37.5665,126.978,South Korea,Michigan,48044
BHBK6944,2015-001-502603,Female,Chinese,Summer,Xiamen,24.4798,118.0894,China,Idaho,83404
BHMN1765,2015-001-502646,Female,Russian,Summer,Moscow,55.7558,37.6173,Russia,New York,10029
BHNC4529,2015-001-503727,Male,Russian,Summer,Moscow,55.7558,37.6173,Russia,South Carolina,29651
BHPH4787,2015-001-503406,Female,Russian,Year,Chisinau,47.0105,28.8638,Moldova,New York,10576
BHSS4492,2015-001-503412,Male,Korean,Summer,Seoul,37.5665,126.978,South Korea,Massachusetts,2151
