"Home.Postal.Code","Reference.Code","Student.Number","Sex","Module.Language","Module.Duration","Module.City","module.lat","module.long","Module.Country","Home.Region","city","state","latitude","longitude"
"01503","EKUD3722","2015-001-501982","Female","Korean","Year","Seoul","37.5665","126.978","South Korea","Massachusetts","Berlin","MA",42.380562,-71.62665
"01720","CAVW9575","2015-001-502655","Female","Korean","Summer","Jeonju","35.8242","127.148","South Korea","Massachusetts","Acton","MA",42.477142,-71.4422
"01720","BSNY7187","2015-001-501783","Male","Chinese","Summer","Suzhou","31.299","120.5853","China","Massachusetts","Acton","MA",42.477142,-71.4422
"01742","YUEX3845","2015-001-501913","Female","Persian (Tajik)","Summer","Dushanbe","38.5598","68.787","Tajikistan","Massachusetts","Concord","MA",42.457201,-71.37478
"01748","TNCK4324","2015-001-502040","Male","Chinese","Summer","Jiaxing","30.7539","120.7585","China","Massachusetts","Hopkinton","MA",42.220447,-71.53418
"01748","JVCY1376","2015-001-503793","Female","Chinese","Summer","Deyang","31.1269","104.3979","China","Massachusetts","Hopkinton","MA",42.220447,-71.53418
"01770","KHGC9184","2015-001-502329","Male","Korean","Summer","Jeonju","35.8242","127.148","South Korea","Massachusetts","Sherborn","MA",42.231025,-71.37202
"02093","ZABF8768","2015-001-503566","Female","Russian","Summer","Kirov","58.4199","50.2097","Russia","Massachusetts","Wrentham","MA",42.0597,-71.34617
"02130","XGJR6821","2015-001-500930","Female","Russian","Year","Chisinau","47.0105","28.8638","Moldova","Massachusetts","Jamaica Plain","MA",42.309998,-71.11171
"02151","BHSS4492","2015-001-503412","Male","Korean","Summer","Seoul","37.5665","126.978","South Korea","Massachusetts","Revere","MA",42.416247,-71.00525
"02446","RGCP2869","2015-001-502189","Male","Chinese","Summer","Xiamen","24.4798","118.0894","China","Massachusetts","Brookline","MA",42.344747,-71.12141
"02461","FNZQ1599","2015-001-501212","Female","Chinese","Summer","Nanjing","32.0603","118.7969","China","Massachusetts","Newton Highlands","MA",42.31883,-71.20822
"02474","GGPX7272","2015-001-501704","Female","Korean","Summer","Seoul","37.5665","126.978","South Korea","Massachusetts","Arlington","MA",42.419496,-71.15635
"02632","EVUA3667","2015-001-500772","Male","Chinese","Summer","Zhuhai","22.271","113.5767","China","Massachusetts","Centerville","MA",41.658718,-70.34658
"02806","XQUE7538","2015-001-511288","Male","Russian","Summer","Moscow","55.7558","37.6173","Russia","Rhode Island","Barrington","RI",41.746834,-71.32031
"02904","HSAT5754","2015-001-500989","Male","Arabic","Summer","Marrakesh","31.6295","7.9811","Morocco","Rhode Island","Providence","RI",41.859199,-71.43142
"03281","JKUT1448","2015-001-511304","Female","Chinese","Summer","Harbin","45.8038","126.535","China","New Hampshire","Weare","NH",43.080986,-71.72329
"03301","YMDX6839","2015-001-502217","Female","Turkish","Summer","Bursa","40.1885","29.061","Turkey","New Hampshire","Concord","NH",43.213705,-71.53774
"03301","NCPH8195","2015-001-503728","Female","Chinese","Summer","Nanjing","32.0603","118.7969","China","New Hampshire","Concord","NH",43.213705,-71.53774
"03431","CMVA1744","2015-001-501475","Female","Hindi","Summer","Pune","18.5204","73.8567","India","New Hampshire","Keene","NH",42.946418,-72.28616
"03431","PCWN9635","2015-001-503878","Female","Chinese","Year","Kaohsiung","22.6273","120.3014","Taiwan","New Hampshire","Keene","NH",42.946418,-72.28616
"03755","RHUE8842","2015-001-509661","Female","Korean","Year","Seoul","37.5665","126.978","South Korea","New Hampshire","Hanover","NH",43.719756,-72.2507
"03801","UTNC1917","2015-001-500920","Male","Russian","Year","Chisinau","47.0105","28.8638","Moldova","New Hampshire","Portsmouth","NH",43.070188,-70.77684
"04010","RCQD7312","2015-001-502361","Female","Chinese","Summer","Zhuhai","22.271","113.5767","China","Maine","Brownfield","ME",43.938741,-70.90049
"04032","UNVV8717","2015-001-501056","Male","Turkish","Year","Izmir","38.4237","27.1428","Turkey","Maine","Freeport","ME",43.843778,-70.10172
"04038","YDMW2456","2015-001-511270","Female","Chinese","Summer","Harbin","45.8038","126.535","China","Maine","Gorham","ME",43.697118,-70.46301
"04046","SMYF5929","2015-001-511299","Male","Chinese","Summer","Harbin","45.8038","126.535","China","Maine","Kennebunkport","ME",43.399494,-70.4769
"04072","VPPU9558","2015-001-511271","Female","Chinese","Summer","Harbin","45.8038","126.535","China","Maine","Saco","ME",43.527322,-70.45171
"04103","FSYD9145","2015-001-511279","Female","Chinese","Summer","Harbin","45.8038","126.535","China","Maine","Portland","ME",43.685882,-70.2903
"04103","HXUS6424","2015-001-511291","Female","Chinese","Summer","Harbin","45.8038","126.535","China","Maine","Portland","ME",43.685882,-70.2903
"04106","WBWK9933","2015-001-503222","Female","Russian","Summer","Chisinau","47.0105","28.8638","Moldova","Maine","South Portland","ME",43.631549,-70.27272
"04217","CUDH3975","2015-001-501016","Male","Chinese","Summer","Zhuhai","22.271","113.5767","China","Maine","Bethel","ME",44.372129,-70.8175
"04282","HJNR2745","2015-001-511272","Male","Chinese","Summer","Harbin","45.8038","126.535","China","Maine","Turner","ME",44.266842,-70.24563
"04401","UMJG7855","2015-001-511296","Male","Chinese","Summer","Harbin","45.8038","126.535","China","Maine","Bangor","ME",44.81777,-68.78952
"04402","RTMF8434","2015-001-511312","Male","Chinese","Summer","Harbin","45.8038","126.535","China","Maine","Bangor","ME",45.519867,-68.647416
"04428","BWPS5393","2015-001-511269","Female","Chinese","Summer","Harbin","45.8038","126.535","China","Maine","Eddington","ME",44.798289,-68.5694
"04429","BEZY9978","2015-001-511278","Female","Chinese","Summer","Harbin","45.8038","126.535","China","Maine","Holden","ME",44.700606,-68.59682
"04461","SGZZ8271","2015-001-511286","Female","Chinese","Summer","Harbin","45.8038","126.535","China","Maine","Milford","ME",44.956776,-68.62199
"04474","SWGV5285","2015-001-503426","Male","Chinese","Year","Beijing","39.9042","116.4074","China","Maine","Orrington","ME",44.721393,-68.78905
"04667","MVCW6177","2015-001-511283","Female","Chinese","Summer","Harbin","45.8038","126.535","China","Maine","Perry","ME",44.972969,-67.08697
"04750","NFCU1562","2015-001-511293","Female","Chinese","Summer","Harbin","45.8038","126.535","China","Maine","Limestone","ME",46.936616,-67.86471
"04853","DKVS7273","2015-001-511277","Male","Chinese","Summer","Harbin","45.8038","126.535","China","Maine","North Haven","ME",44.154189,-68.8781
"04861","QABR7841","2015-001-511303","Male","Chinese","Summer","Harbin","45.8038","126.535","China","Maine","Thomaston","ME",44.082602,-69.17598
"05401","SDCF4825","2015-001-501554","Female","Arabic","Summer","Amman","31.9454","35.9284","Jordan","Vermont","Burlington","VT",44.484038,-73.22126
"05465","RZHR6846","2015-001-502392","Male","Russian","Year","Chisinau","47.0105","28.8638","Moldova","Vermont","Jericho","VT",44.486113,-72.96317
